

cancer	gene	sample	tumor methylation	normal methylation	tumor expression	normal expression
brca	NM_001042669	TCGA-BH-A0B5	0.8720		224.1494	862.2184
brca	NM_001042669	TCGA-BH-A0B6	0.8893		141.1182	
brca	NM_001042669	TCGA-BH-A0B8	0.8020	0.1992	91.8340	752.4752
brca	NM_001042669	TCGA-BH-A0B9	0.7501		181.8182	
brca	NM_001042669	TCGA-BH-A0BA	0.8341	0.4800	153.8857	359.0217
brca	NM_001042669	TCGA-BH-A0BC	0.8811	0.4592	273.2496	492.9321
brca	NM_001042669	TCGA-BH-A0BF	0.7844	0.3628	293.1715	
brca	NM_001042669	TCGA-BH-A0BJ	0.7415	0.6045	214.4714	334.9673
brca	NM_001042669	TCGA-BH-A0BM	0.7900	0.3410	214.6497	357.5102
brca	NM_001042669	TCGA-BH-A0BS	0.8806	0.3514	77.6828	278.5205
brca	NM_001042669	TCGA-BH-A0BT	0.3097	0.4141	106.6061	413.0726
brca	NM_001042669	TCGA-BH-A0BZ	0.8421	0.3897	251.1888	501.8503
brca	NM_001042669	TCGA-BH-A0C0	0.8581	0.3837	83.5998	370.4735
brca	NM_001042669	TCGA-BH-A0C3	0.8006	0.4594	381.5567	347.3514
brca	NM_001042669	TCGA-BH-A0DD	0.8892		84.0336	781.8734
brca	NM_001042669	TCGA-BH-A0DG	0.8174	0.6183	236.3849	398.1168
brca	NM_001042669	TCGA-BH-A0DH	0.8967	0.2879	443.7335	497.9009
brca	NM_001042669	TCGA-BH-A0DI	0.7423	0.7583	509.9860	
brca	NM_001042669	TCGA-BH-A0DK	0.8693	0.6032	308.2808	340.7418
brca	NM_001042669	TCGA-BH-A0DP	0.8693	0.6067	271.7531	343.6519
brca	NM_001042669	TCGA-BH-A0DQ	0.8453	0.5168	372.2926	382.6793
brca	NM_001042669	TCGA-BH-A0DS	0.8432		317.3308	
brca	NM_001042669	TCGA-BH-A0DV	0.6016	0.4657	396.9943	593.5013
brca	NM_001042669	TCGA-BH-A0E0	0.6233	0.3828	166.9714	373.8359
brca	NM_001042669	TCGA-BH-A0E1	0.9039	0.5476	146.0978	251.3474
brca	NM_001042669	TCGA-BH-A0E2	0.8772		197.4097	
brca	NM_001042669	TCGA-BH-A0GY	0.5785		169.0712	
brca	NM_001042669	TCGA-BH-A0GZ	0.7671		191.2284	
brca	NM_001042669	TCGA-BH-A0H0	0.8966		47.9042	
brca	NM_001042669	TCGA-BH-A0H3	0.7693		342.6912	
brca	NM_001042669	TCGA-BH-A0H6	0.8277		167.8832	
brca	NM_001042669	TCGA-BH-A0H7	0.8490	0.4416	191.3986	424.5940
brca	NM_001042669	TCGA-BH-A0H9	0.8301	0.2085	92.2686	
brca	NM_001042669	TCGA-BH-A0HA	0.8825	0.3764	217.0938	310.2190
brca	NM_001042669	TCGA-BH-A0HB	0.8993		152.5586	
brca	NM_001042669	TCGA-BH-A0HF	0.7711		240.6260	
brca	NM_001042669	TCGA-BH-A0HI	0.8475		184.6154	
brca	NM_001042669	TCGA-BH-A0HK	0.8876	0.3478	257.1128	374.8912
brca	NM_001042669	TCGA-BH-A0HN	0.8771		55.8003	
brca	NM_001042669	TCGA-BH-A0HP	0.7407		216.6077	
brca	NM_001042669	TCGA-BH-A0HX	0.8712		160.5185	
brca	NM_001042669	TCGA-BH-A0HY	0.8935		139.7059	
brca	NM_001042669	TCGA-BH-A0RX	0.5871		233.1860	
brca	NM_001042669	TCGA-BH-A0W3	0.8661		84.7606	
brca	NM_001042669	TCGA-BH-A0W4	0.7961		161.3988	
brca	NM_001042669	TCGA-BH-A0W5	0.7634		343.6593	
brca	NM_001042669	TCGA-BH-A0WA	0.3543		130.6746	
brca	NM_001042669	TCGA-BH-A18V	0.8133		115.8547	348.3847
brca	NM_001042669	TCGA-BH-A1EN	0.8712	0.2924	184.8080	541.2979
brca	NM_001042669	TCGA-BH-A1EO	0.8370	0.1815	375.3800	1022.4934
brca	NM_001042669	TCGA-BH-A1ES	0.6233	0.4058	90.3528	
brca	NM_001042669	TCGA-BH-A1ET	0.8583	0.4503	242.6134	494.3935
brca	NM_001042669	TCGA-BH-A1EU	0.6533	0.3742	427.5834	469.2497
brca	NM_001042669	TCGA-BH-A1EV	0.7614	0.4396	161.0556	379.0303
brca	NM_001042669	TCGA-BH-A1EW	0.8635	0.7173	141.2653	307.2353
brca	NM_001042669	TCGA-BH-A1EX	0.8443		217.9071	
brca	NM_001042669	TCGA-BH-A1EY	0.8528	0.4932	315.9654	
brca	NM_001042669	TCGA-BH-A1F0	0.5585	0.3356	331.4335	557.2215
brca	NM_001042669	TCGA-BH-A1F2	0.7222	0.2669	239.9894	776.9659
brca	NM_001042669	TCGA-BH-A1F5	0.8449	0.5864	82.1665	
