index	FACS.selection	age	batch	cell	cell_ontology_class	cell_ontology_id	cellid	free_annotation	mouse.id	plate	sex	well	Expressed Genes	UMI Count	Louvain Cluster	leiden	cluster_names
L12.MAA000487.3_10_M.1.1-1	nan	3m	1	L12.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_10_M	nan	male	nan	6111	7297.4204	2	5	2_bladder urothelial cell
L13.B000610.3_56_F.1.1-1	nan	3m	1	L13.B000610.3_56_F.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_56_F	nan	female	nan	3260	5492.0654	3	9	3_bladder cell
L13.B002771.3_39_F.1.1-1	nan	3m	1	L13.B002771.3_39_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_39_F	nan	female	nan	5460	7125.8843	5	3	5_bladder urothelial cell
L13.D041914.3_8_M.1.1-1	nan	3m	1	L13.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_8_M	nan	male	nan	4744	6314.938	1	1	1_bladder cell
L13.D042253.3_9_M.1.1-1	nan	3m	1	L13.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_9_M	nan	male	nan	6373	7028.0894	1	8	1_bladder cell
L13.MAA000487.3_10_M.1.1-1	nan	3m	1	L13.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	basal bladder epithelial cell (Krt5+Krt14+)	3_10_M	nan	male	nan	5950	6388.2285	2	7	2_bladder urothelial cell
L14.B000610.3_56_F.1.1-1	nan	3m	1	L14.B000610.3_56_F.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_56_F	nan	female	nan	3053	5769.471	3	9	3_bladder cell
L14.B002764.3_38_F.1.1-1	nan	3m	1	L14.B002764.3_38_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_38_F	nan	female	nan	3944	6119.0063	6	6	6_bladder urothelial cell
L14.D041914.3_8_M.1.1-1	nan	3m	1	L14.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_8_M	nan	male	nan	4962	6531.5576	1	9	1_bladder cell
L14.D042253.3_9_M.1.1-1	nan	3m	1	L14.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_9_M	nan	male	nan	4449	7236.7803	4	4	4_bladder cell
L14.MAA000487.3_10_M.1.1-1	nan	3m	1	L14.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_10_M	nan	male	nan	5827	7254.684	2	5	2_bladder urothelial cell
L15.B000610.3_56_F.1.1-1	nan	3m	1	L15.B000610.3_56_F.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_56_F	nan	female	nan	3686	6362.143	1	1	1_bladder cell
L15.B002771.3_39_F.1.1-1	nan	3m	1	L15.B002771.3_39_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_39_F	nan	female	nan	5533	6663.955	5	3	5_bladder urothelial cell
L15.D041914.3_8_M.1.1-1	nan	3m	1	L15.D041914.3_8_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_8_M	nan	male	nan	5096	6675.2183	6	6	6_bladder urothelial cell
L15.D042253.3_9_M.1.1-1	nan	3m	1	L15.D042253.3_9_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_9_M	nan	male	nan	5985	7533.8823	2	5	2_bladder urothelial cell
L15.MAA000487.3_10_M.1.1-1	nan	3m	1	L15.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	basal bladder epithelial cell (Krt5+Krt14+)	3_10_M	nan	male	nan	4137	6307.246	2	7	2_bladder urothelial cell
L16.B000610.3_56_F.1.1-1	nan	3m	1	L16.B000610.3_56_F.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_56_F	nan	female	nan	3664	5768.243	1	1	1_bladder cell
L16.B002764.3_38_F.1.1-1	nan	3m	1	L16.B002764.3_38_F.1.1	bladder urothelial cell	CL:1001428	nan	basal bladder epithelial cell (Krt5+)	3_38_F	nan	female	nan	4265	6530.7676	0	0	0_bladder urothelial cell
L16.D041914.3_8_M.1.1-1	nan	3m	1	L16.D041914.3_8_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_8_M	nan	male	nan	5680	7062.9697	6	6	6_bladder urothelial cell
L16.D042253.3_9_M.1.1-1	nan	3m	1	L16.D042253.3_9_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_9_M	nan	male	nan	5656	7482.8047	2	5	2_bladder urothelial cell
L17.D041914.3_8_M.1.1-1	nan	3m	1	L17.D041914.3_8_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_8_M	nan	male	nan	5769	6817.123	6	6	6_bladder urothelial cell
L17.D042253.3_9_M.1.1-1	nan	3m	1	L17.D042253.3_9_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_9_M	nan	male	nan	6340	7656.824	2	5	2_bladder urothelial cell
L17.MAA000487.3_10_M.1.1-1	nan	3m	1	L17.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	basal bladder epithelial cell (Krt5+Krt14+)	3_10_M	nan	male	nan	7414	7190.673	2	7	2_bladder urothelial cell
L18.D041914.3_8_M.1.1-1	nan	3m	1	L18.D041914.3_8_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_8_M	nan	male	nan	5853	6217.653	5	3	5_bladder urothelial cell
L18.D042253.3_9_M.1.1-1	nan	3m	1	L18.D042253.3_9_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_9_M	nan	male	nan	6431	7701.5234	2	5	2_bladder urothelial cell
L18.MAA000487.3_10_M.1.1-1	nan	3m	1	L18.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	basal bladder epithelial cell (Krt5+Krt14+)	3_10_M	nan	male	nan	5715	7095.951	2	7	2_bladder urothelial cell
L19.D041914.3_8_M.1.1-1	nan	3m	1	L19.D041914.3_8_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_8_M	nan	male	nan	5599	6676.28	6	6	6_bladder urothelial cell
L19.D042253.3_9_M.1.1-1	nan	3m	1	L19.D042253.3_9_M.1.1	bladder urothelial cell	CL:1001428	nan	basal bladder epithelial cell (Krt5+Krt14+)	3_9_M	nan	male	nan	5710	7103.6353	2	7	2_bladder urothelial cell
